TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
1/6/2020 0:00,TXN00000001,A00003822,PLC00008468,23/6/2015,16/5/2020,21/5/2020,Health,157.13,9000,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308,087-11-1946,Y,54,89,Y,3,L,Own,LI,109134974,HXJP58258181908465,Bachelor,A,Major Loss,Police,0,1,GA,Savannah,4,AGENT00413,VNDR00556
1/6/2020 0:00,TXN00000004,A00007572,PLC00009292,29/11/2016,14/5/2020,19/5/2020,Health,172.87,16000,Steven Bassett,2803 River Drive,,Thunderbolt,GA,31404,669-92-1861,Y,36,16,Y,7,L,Mortgage,MI,18429110,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0,0,GA,Savannah,12,AGENT00278,VNDR00075
1/6/2020 0:00,TXN00000007,A00007245,PLC00002796,26/10/2012,13/5/2020,18/5/2020,Health,197.23,3000,Dennis Johnson,5119 Marla Drive,,Panama City,FL,32404,539-25-2348,Y,61,20,Y,7,L,Rent,MI,72461648,ZCMU49563664563577,NA,A,Major Loss,Police,1,1,CT,Manchester,10,AGENT00322,VNDR00150
1/6/2020 0:00,TXN00000013,A00003693,PLC00007839,12/6/2019,24/5/2020,27/5/2020,Health,157.95,11000,Lisa Rosario,12870 Old Seward Highway,#STE 000105,Anchorage,AK,99515,115-30-1247,Y,57,118,Y,3,M,Mortgage,LI,74438433,NAUY34845981013549,Bachelor,A,Major Loss,None,0,1,KY,Louisville,22,AGENT00015,VNDR00191
1/6/2020 0:00,TXN00000021,A00004720,PLC00003338,10/7/2015,30/5/2020,30/5/2020,Health,155.23,17000,Stacey Lopez,10 Skyline Way,,Hartford,VT,5001,889-29-6243,Y,51,51,Y,6,L,Own,MI,95548658,VRFH55935817723257,High School,A,Total Loss,Other,1,0,CO,Arvada,3,AGENT00446,VNDR00215
1/6/2020 0:00,TXN00000027,A00006946,PLC00009230,30/12/2011,14/5/2020,19/5/2020,Health,130.78,17000,Barbara Clouthier,4329 Howe Street,,Oakland,CA,94611,363-11-4142,Y,26,28,Y,3,L,Rent,MI,96206630,TTLB31669942391037,PhD,A,Total Loss,Police,1,1,GA,Savannah,11,AGENT00739,
1/6/2020 0:00,TXN00000028,A00004112,PLC00003274,23/6/2014,28/5/2020,29/5/2020,Health,119.4,19000,Elbert Felix,780 South Wilmington Avenue,#107,Fayetteville,AR,72701,438-24-0006,Y,57,85,Y,3,L,Own,HI,99964979,TPIY02608088603933,Masters,A,Minor Loss,Police,0,0,MA,Quincy,0,AGENT01169,VNDR00310
1/6/2020 0:00,TXN00000031,A00003691,PLC00009902,3/7/2010,14/5/2020,19/5/2020,Health,147.7,13000,Mildred Whitten,6225 West Citrus Way,,Glendale,AZ,85301,571-86-2413,N,25,117,Y,7,M,Rent,MI,49391929,EDWX65101648714154,PhD,A,Major Loss,Ambulance,1,0,CO,Arvada,3,AGENT00531,VNDR00249
3/6/2020 0:00,TXN00000069,A00007027,PLC00008450,9/2/2011,28/5/2020,30/5/2020,Health,156.2,3000,William Martin,2707 Eden Street,,Nashville,TN,37208,234-71-8403,Y,36,82,N,4,L,Rent,MI,125033376,VDAJ67452473390304,Bachelor,A,Total Loss,Police,0,0,CA,Oakland,7,AGENT00565,VNDR00239
3/6/2020 0:00,TXN00000089,A00005802,PLC00001608,25/4/2017,31/5/2020,31/5/2020,Health,102.63,9000,Joseph Walt,4329 Howe Street,,Oakland,CA,94611,870-21-9085,N,63,96,Y,3,L,Own,LI,60298742,RHPR40702585454712,Bachelor,A,Major Loss,None,0,1,MA,Lowell,4,AGENT00955,
